id,r,n,MeanAmp,Worry,Clinical,Adult,group,Published,Pub.Label,CRN,CRNr,DRNr,DRN,task_1f_2g_3s_4o,mod1,flankType_0a_1l_2o,hand,blockFB,trialFB_any
Gehring (2000),-0.8016,9,1,1,1,1,0,1,1,0,,-0.6834,1,3,,,,,
Boksem (2006),-0.56,24,1,1,0,1,0,1,1,0,,,0,1,0,1,2,0,0
Tops (2011),-0.53,18,1,1,0,1,0,1,1,1,-0.34,,0,1,0,1,2,0,0
Johannes (2001),-0.5239,20,1,1,1,1,1,1,1,0,,,0,4,,,,,
Chang (2010),-0.5,29,0,0,0,1,0,1,1,0,,,0,1,0,1,2,0,0
Beste (2013),-0.486,97,1,0,0,1,0,1,1,0,,,0,1,0,0,2,0,1
Endrass (2014),-0.405,72,0,1,1,1,1,1,1,1,-0.2652,,0,1,0,0,2,1,0
Carrasco (2013b),-0.4031,66,1,1,1,0,1,1,1,1,0.005,,0,1,0,0,2,1,0
Riesel (2011),-0.3794,60,0,1,1,1,1,1,1,1,-0.2652,,0,1,0,0,2,1,0
Grutzmann (2016),-0.3766,32,0,1,1,1,1,1,1,1,-0.1743,,0,1,0,0,2,1,0
De Saedeleer (2018)*,-0.37,40,1,1,0,1,0,0,4,1,-0.1,,0,2,,,,,
Olvet (2009),-0.37,29,1,0,0,1,0,1,1,0,,,0,1,0,0,1,1,0
Klawohn (2014),-0.3686,52,0,1,1,1,1,1,1,1,-0.2351,-0.2656,1,1,0,0,2,1,0
Roh et al. (2017),-0.3674,40,1,1,1,1,1,1,1,1,-0.436,,0,1,1,0,2,1,0
Amodio (2008),-0.35,40,0,1,0,1,0,1,1,0,,,0,2,,,,,
Kaczkurkin (2013),-0.347,59,0,1,0,1,1,1,1,1,-0.1772,,0,1,0,1,,0,1
Klawohn (2016),-0.347,44,0,1,1,1,1,1,1,0,,,0,1,1,0,2,1,0
Xiao et al. (2011),-0.3441,79,1,1,1,1,1,1,1,1,-0.1211,-0.2172,1,1,0,1,2,0,1
Weinberg (2010),-0.3134,41,1,1,1,1,1,1,1,1,0.0867,-0.3593,1,1,0,0,1,1,0
Hanna (2012),-0.286,79,1,1,1,0,1,1,1,1,-0.0325,,0,1,0,0,2,1,0
Santesso (2009),-0.277475488,41,0,0,0,1,0,1,1,0,,,0,1,0,1,2,0,0
Carassco (2013a),-0.2678,80,1,1,1,0,1,1,1,1,0.0165,,0,1,0,0,2,1,0
Riesel (2015),-0.2665,78,0,1,1,1,1,1,1,1,-0.2996,,0,1,0,0,2,1,0
Aarts (2010),-0.2498,32,1,0,0,1,1,1,1,1,-0.0951,,0,2,,,,,
Cavanagh (2008),-0.24,46,0,1,0,1,0,1,1,0,,,0,1,0,1,2,0,1
Riesel (2014),-0.2241,144,0,1,1,1,1,1,1,1,-0.1914,,0,1,0,0,2,1,0
Stern (2010),-0.219,78,1,1,1,1,1,1,1,1,0.043,,0,1,1,1,2,1,1
Meyer (2012) est.,-0.21,55,1,0,0,0,1,1,1,1,-0.2,-0.04,1,1,0,0,1,1,0
Liu et al (2014),-0.205,40,1,1,1,0,1,1,1,0,,-0.258,1,1,0,0,2,1,0
Hanna (2016),-0.2027,160,1,1,1,0,1,1,1,1,0.004,-0.1928,1,1,0,0,2,1,0
Santesso (2006),-0.19,37,0,0,0,0,0,1,1,0,,,0,1,0,1,2,0,0
Ladouceur (2018),-0.1705,94,1,1,1,0,1,1,1,1,-0.2647,,0,1,0,0,2,1,0
Meyer (2017),-0.17,46,1,0,0,1,0,1,1,0,,,0,1,0,0,1,1,0
Weinberg (2015),-0.1623,112,1,1,1,1,1,1,1,1,-0.0748,-0.0975,1,1,0,0,1,1,0
Tanovic (2017) ,-0.16,45,1,1,0,1,0,1,1,1,-0.13,,0,1,0,0,2,1,0
Weinberg (2012),-0.1416,62,1,1,1,1,1,1,1,1,0.0872,-0.3266,1,1,0,0,1,1,0
Barker (2015),-0.14,43,1,1,0,1,0,1,1,1,-0.03,-0.12,1,1,0,0,2,1,0
Hanna (2018),-0.1343,142,1,1,1,0,1,1,1,1,-0.083,-0.088,1,1,0,0,2,1,0
Agam et al. (2014),-0.1279,35,1,1,1,1,1,1,1,1,-0.029,,0,4,,,,,
